Game,Name,Variant,Class,Gender,HM Bonus,SecondClass,ThirdClass,char_base_stats_Lv,char_base_stats_HP,char_base_stats_S/M,char_base_stats_Skl,char_base_stats_Spd,char_base_stats_Lck,char_base_stats_Def,char_base_stats_Res,char_base_stats_Con,char_base_stats_Mov,char_growth_rates_HP,char_growth_rates_S/M,char_growth_rates_Skl,char_growth_rates_Spd,char_growth_rates_Lck,char_growth_rates_Def,char_growth_rates_Res,second_class_promo_gains_HP,second_class_promo_gains_S/M,second_class_promo_gains_Skl,second_class_promo_gains_Spd,second_class_promo_gains_Def,second_class_promo_gains_Res,second_class_promo_gains_Con,second_class_promo_gains_Mov,third_class_promo_gains_HP,third_class_promo_gains_S/M,third_class_promo_gains_Skl,third_class_promo_gains_Spd,third_class_promo_gains_Def,third_class_promo_gains_Res,third_class_promo_gains_Con,third_class_promo_gains_Mov,class_growth_rates_HP,class_growth_rates_S/M,class_growth_rates_Skl,class_growth_rates_Spd,class_growth_rates_Def,class_growth_rates_Res,class_growth_rates_Lck,class_max_stats_S/M,class_max_stats_Skl,class_max_stats_Spd,class_max_stats_Def,class_max_stats_Res,class_max_stats_Con,class_max_stats_HP,class_max_stats_Lck,class_max_stats_Mov,second_class_growth_rates_HP,second_class_growth_rates_S/M,second_class_growth_rates_Skl,second_class_growth_rates_Spd,second_class_growth_rates_Def,second_class_growth_rates_Res,second_class_growth_rates_Lck,second_class_max_stats_S/M,second_class_max_stats_Skl,second_class_max_stats_Spd,second_class_max_stats_Def,second_class_max_stats_Res,second_class_max_stats_Con,second_class_max_stats_HP,second_class_max_stats_Lck,second_class_max_stats_Mov,third_class_growth_rates_HP,third_class_growth_rates_S/M,third_class_growth_rates_Skl,third_class_growth_rates_Spd,third_class_growth_rates_Def,third_class_growth_rates_Res,third_class_growth_rates_Lck,third_class_max_stats_S/M,third_class_max_stats_Skl,third_class_max_stats_Spd,third_class_max_stats_Def,third_class_max_stats_Res,third_class_max_stats_Con,third_class_max_stats_HP,third_class_max_stats_Lck,third_class_max_stats_Mov,char_growth_rates_adjusted_HP,char_growth_rates_adjusted_S/M,char_growth_rates_adjusted_Skl,char_growth_rates_adjusted_Spd,char_growth_rates_adjusted_Lck,char_growth_rates_adjusted_Def,char_growth_rates_adjusted_Res
FE6,Lot,All,Fighter,M,0,Warrior,N/A,3.0,29.0,7.0,6.0,7.0,2.0,4.0,1.0,12.0,5.0,80.0,30.0,30.0,35.0,30.0,40.0,15.0,8.0,3.0,3.0,2.0,3.0,0.0,2.0,1.0,,,,,,,,,85.0,55.0,35.0,30.0,15.0,10.0,15.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,80.0,45.0,25.0,20.0,16.0,7.0,15.0,30.0,26.0,24.0,28.0,20.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,81.8606438826248,30.6977414559843,30.6977414559843,35.81403169864835,30.6977414559843,40.9303219413124,15.34887072799215
FE6,Shanna,All,Pegasus Knight,F,0,Falcoknight,N/A,1.0,17.0,4.0,6.0,12.0,5.0,6.0,5.0,4.0,7.0,45.0,30.0,55.0,60.0,60.0,10.0,25.0,6.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,65.0,35.0,40.0,40.0,12.0,25.0,35.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,60.0,30.0,30.0,30.0,12.0,20.0,30.0,23.0,25.0,28.0,24.0,28.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,45.857749568445,30.571833045629997,56.048360583655,61.143666091259995,61.143666091259995,10.190611015210001,25.476527538024996
FE6,Chad,All,Thief,M,0,N/A,N/A,1.0,16.0,3.0,3.0,10.0,4.0,2.0,0.0,5.0,6.0,85.0,50.0,50.0,80.0,60.0,25.0,15.0,,,,,,,,,,,,,,,,,50.0,5.0,45.0,40.0,5.0,20.0,40.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.16287340078125,50.0958078828125,50.0958078828125,80.15329261250001,60.11496945937499,25.04790394140625,15.028742364843747
FE6,Lugh,All,Mage,M,0,Sage,N/A,1.0,16.0,4.0,5.0,6.0,5.0,3.0,5.0,4.0,5.0,50.0,40.0,50.0,50.0,35.0,15.0,30.0,4.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,55.0,55.0,40.0,35.0,5.0,35.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,45.0,45.0,30.0,25.0,10.0,25.0,15.0,28.0,30.0,25.0,20.0,25.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,51.492380626953114,41.19390450156251,51.492380626953114,51.492380626953114,36.04466643886719,15.447714188085937,30.895428376171875
FE6,Clarine,All,Troubadour,F,0,Valkyrie,N/A,1.0,15.0,2.0,5.0,9.0,8.0,2.0,5.0,5.0,7.0,40.0,30.0,40.0,50.0,65.0,10.0,40.0,4.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,,,,,,,,,50.0,25.0,35.0,55.0,12.0,30.0,45.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,45.0,35.0,25.0,45.0,10.0,20.0,40.0,27.0,24.0,25.0,24.0,28.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,40.975244263840004,30.731433197879998,40.975244263840004,51.2190553298,66.58477192874,10.243811065960001,40.975244263840004
FE6,Rutger,All,Myrmidon,M,5,Swordmaster,N/A,4.0,22.0,7.0,12.0,13.0,2.0,5.0,0.0,7.0,5.0,80.0,30.0,60.0,50.0,30.0,20.0,20.0,5.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,70.0,35.0,40.0,40.0,15.0,17.0,30.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,65.0,20.0,30.0,30.0,15.0,12.0,25.0,24.0,29.0,30.0,22.0,23.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,81.01610815488,30.381040558080002,60.762081116160005,50.6350675968,30.381040558080002,20.25402703872,20.25402703872
FE6,Saul,All,Priest,M,0,Bishop,N/A,5.0,20.0,4.0,6.0,10.0,2.0,2.0,5.0,6.0,5.0,60.0,40.0,45.0,45.0,15.0,15.0,50.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,,,,,,,,,50.0,30.0,35.0,32.0,8.0,50.0,45.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,45.0,35.0,25.0,22.0,8.0,40.0,40.0,25.0,26.0,25.0,22.0,30.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,61.614875544933746,41.07658369662251,46.21115665870031,46.21115665870031,15.403718886233436,15.403718886233436,51.34572962077812
FE6,Dorothy,All,Archer,F,0,Sniper,N/A,3.0,19.0,5.0,6.0,6.0,3.0,4.0,2.0,7.0,5.0,85.0,50.0,45.0,45.0,35.0,15.0,15.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,,,,,,,,,70.0,35.0,40.0,32.0,15.0,10.0,35.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,65.0,30.0,30.0,20.0,15.0,15.0,30.0,23.0,30.0,29.0,21.0,25.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,85.91529173466755,50.538406902745606,45.48456621247105,45.48456621247105,35.37688483192192,15.161522070823679,15.161522070823679
FE6,Sue,All,Nomad,F,0,Nomadic Trooper,N/A,1.0,18.0,5.0,7.0,8.0,4.0,5.0,0.0,5.0,7.0,55.0,30.0,55.0,65.0,50.0,10.0,15.0,6.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,,,,,,,,,65.0,30.0,40.0,45.0,12.0,15.0,30.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,60.0,25.0,30.0,35.0,15.0,10.0,25.0,23.0,28.0,30.0,22.0,25.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,56.06352947121358,30.58010698429831,56.06352947121358,66.25689846597967,50.96684497383052,10.193368994766104,15.290053492149156
FE6,Zelot,All,Paladin,M,0,N/A,N/A,1.0,35.0,10.0,12.0,13.0,5.0,11.0,7.0,11.0,8.0,75.0,25.0,20.0,20.0,15.0,30.0,15.0,,,,,,,,,,,,,,,,,70.0,25.0,30.0,18.0,12.0,17.0,25.0,25.0,28.0,25.0,25.0,25.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.8279957075,26.6093319025,21.287465522,21.287465522,15.9655991415,31.931198283,15.9655991415
FE6,Trec,All,Cavalier,M,0,Paladin,N/A,4.0,25.0,8.0,6.0,7.0,5.0,8.0,0.0,9.0,7.0,85.0,40.0,30.0,35.0,50.0,30.0,5.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,,,,,,,,,75.0,35.0,40.0,28.0,15.0,12.0,30.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,70.0,25.0,30.0,18.0,12.0,17.0,25.0,25.0,28.0,25.0,25.0,25.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,86.17310769942134,40.552050682080626,30.414038011560468,35.48304434682055,50.69006335260078,30.414038011560468,5.069006335260078
FE6,Noah,All,Cavalier,M,0,Paladin,N/A,7.0,27.0,8.0,7.0,9.0,6.0,7.0,1.0,10.0,7.0,75.0,30.0,45.0,30.0,40.0,30.0,10.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,,,,,,,,,75.0,35.0,40.0,28.0,15.0,12.0,30.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,70.0,25.0,30.0,18.0,12.0,17.0,25.0,25.0,28.0,25.0,25.0,25.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,76.95872672175467,30.783490688701875,46.17523603305281,30.783490688701875,41.0446542516025,30.783490688701875,10.261163562900625
FE6,Astolfo,All,Thief,M,0,N/A,N/A,10.0,25.0,7.0,8.0,15.0,11.0,7.0,3.0,8.0,6.0,90.0,35.0,40.0,50.0,15.0,20.0,20.0,,,,,,,,,,,,,,,,,50.0,5.0,45.0,40.0,5.0,20.0,40.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.96484766975999,35.37521853824,40.42882118656001,50.536026483200004,15.160807944959998,20.214410593280004,20.214410593280004
FE6,Lilina,All,Mage,F,0,Sage,N/A,1.0,16.0,5.0,5.0,4.0,4.0,2.0,7.0,4.0,5.0,45.0,75.0,20.0,35.0,50.0,10.0,35.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,,,,,,,,,55.0,55.0,40.0,35.0,5.0,35.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,45.0,45.0,30.0,25.0,10.0,25.0,15.0,30.0,28.0,25.0,20.0,25.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,45.96080107225781,76.6013351204297,20.427022698781254,35.74728972286719,51.06755674695312,10.213511349390627,35.74728972286719
FE6,Gwendolyn,All,Knight,F,0,General,N/A,1.0,19.0,4.0,3.0,3.0,6.0,8.0,1.0,10.0,4.0,85.0,40.0,40.0,40.0,45.0,30.0,10.0,4.0,4.0,2.0,4.0,3.0,3.0,1.0,1.0,,,,,,,,,80.0,40.0,35.0,15.0,28.0,5.0,25.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,75.0,30.0,35.0,10.0,23.0,15.0,20.0,25.0,25.0,22.0,30.0,26.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,85.9649741065426,40.4541054619024,40.4541054619024,40.4541054619024,45.5108686446402,30.3405790964268,10.1135263654756
FE6,Barthe,All,Knight,M,0,General,N/A,9.0,25.0,10.0,6.0,5.0,2.0,14.0,1.0,16.0,4.0,100.0,60.0,25.0,20.0,20.0,40.0,2.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,1.0,,,,,,,,,80.0,40.0,35.0,15.0,28.0,5.0,25.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,75.0,30.0,25.0,10.0,23.0,15.0,20.0,27.0,25.0,21.0,30.0,25.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,100.0,60.0,25.0,20.0,20.0,40.0,2.0
FE6,Ogier,All,Mercenary,M,0,Hero,N/A,3.0,24.0,7.0,10.0,9.0,6.0,4.0,0.0,8.0,5.0,85.0,40.0,30.0,45.0,55.0,20.0,15.0,4.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,,,,,,,,,80.0,40.0,40.0,32.0,18.0,15.0,30.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,75.0,30.0,30.0,20.0,20.0,10.0,25.0,25.0,30.0,26.0,25.0,22.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,85.91080232651484,40.42861285953641,30.3214596446523,45.482189466978454,55.589342681862554,20.214306429768204,15.16072982232615
FE6,Fir,All,Myrmidon,F,8,Swordmaster,N/A,1.0,19.0,6.0,9.0,10.0,3.0,3.0,1.0,5.0,5.0,75.0,25.0,50.0,55.0,50.0,15.0,20.0,4.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,,,,,,,,,70.0,35.0,40.0,40.0,15.0,17.0,30.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,65.0,25.0,30.0,30.0,15.0,12.0,25.0,22.0,29.0,30.0,22.0,25.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,76.09121198730469,25.363737329101564,50.72747465820313,55.800222124023435,50.72747465820313,15.218242397460937,20.29098986328125
FE6,Sin,All,Nomad,M,8,Nomadic Trooper,N/A,5.0,24.0,7.0,8.0,10.0,6.0,7.0,0.0,7.0,7.0,75.0,45.0,50.0,50.0,25.0,10.0,15.0,5.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,,,,,,,,,65.0,30.0,40.0,45.0,12.0,15.0,30.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,60.0,25.0,30.0,35.0,15.0,10.0,25.0,24.0,28.0,30.0,23.0,23.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,76.50837295646667,45.90502377388,51.00558197097777,51.00558197097777,25.502790985488886,10.201116394195557,15.301674591293335
FE6,Geese,All,Pirate,M,0,Berserker,N/A,10.0,33.0,10.0,9.0,9.0,9.0,8.0,0.0,11.0,5.0,85.0,50.0,30.0,40.0,40.0,20.0,10.0,5.0,3.0,4.0,1.0,3.0,0.0,3.0,1.0,,,,,,,,,75.0,50.0,35.0,25.0,10.0,10.0,15.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,58.0,35.0,25.0,12.0,10.0,10.0,15.0,30.0,24.0,28.0,22.0,24.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,86.17242010144,50.6896588832,30.413795329919996,40.55172710656,40.55172710656,20.27586355328,10.13793177664
FE6,Larum,All,Dancer,F,0,N/A,N/A,1.0,14.0,1.0,2.0,11.0,9.0,2.0,4.0,4.0,5.0,70.0,10.0,5.0,70.0,80.0,20.0,30.0,,,,,,,,,,,,,,,,,45.0,45.0,30.0,60.0,0.0,3.0,70.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.6084873772992,10.086926768185602,5.043463384092801,70.6084873772992,80.69541414548482,20.173853536371205,30.2607803045568
FE6,Echidna,All,Hero,F,0,N/A,N/A,1.0,35.0,13.0,19.0,18.0,6.0,8.0,7.0,9.0,6.0,75.0,30.0,25.0,30.0,20.0,15.0,15.0,,,,,,,,,,,,,,,,,75.0,30.0,30.0,20.0,20.0,10.0,25.0,24.0,30.0,26.0,24.0,24.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.19428186980468,31.67771274792187,26.398093956601564,31.67771274792187,21.118475165281254,15.838856373960935,15.838856373960935
FE6,Elffin,All,Bard,M,0,N/A,N/A,1.0,15.0,1.0,3.0,10.0,11.0,4.0,1.0,6.0,5.0,80.0,5.0,5.0,65.0,65.0,25.0,55.0,,,,,,,,,,,,,,,,,45.0,45.0,30.0,60.0,0.0,3.0,70.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.60145891846894,5.0375911824043085,5.0375911824043085,65.48868537125601,65.48868537125601,25.187955912021543,55.413503006447385
FE6,Bartre,All,Warrior,M,0,N/A,N/A,2.0,48.0,22.0,11.0,10.0,14.0,10.0,3.0,14.0,6.0,70.0,40.0,20.0,30.0,20.0,20.0,5.0,,,,,,,,,,,,,,,,,80.0,45.0,25.0,20.0,16.0,7.0,15.0,30.0,26.0,24.0,28.0,20.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.5529695977472,42.601696912998406,21.300848456499203,31.9512726847488,21.300848456499203,21.300848456499203,5.325212114124801
FE6,Raigh,All,Shaman,M,0,Druid,N/A,12.0,23.0,12.0,9.0,9.0,6.0,5.0,10.0,4.0,5.0,55.0,45.0,55.0,40.0,15.0,15.0,35.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,50.0,50.0,32.0,30.0,10.0,37.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,45.0,55.0,30.0,25.0,10.0,27.0,20.0,29.0,24.0,26.0,21.0,28.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,56.780216014272554,46.4565403753139,56.780216014272554,41.29470255583458,15.485513458437966,15.485513458437966,36.13286473635525
FE6,Melady,All,Wyvern Rider,F,10,Wyvern Lord,N/A,10.0,30.0,12.0,11.0,10.0,5.0,13.0,3.0,9.0,7.0,75.0,50.0,50.0,45.0,25.0,20.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,80.0,45.0,35.0,30.0,25.0,10.0,25.0,20.0,20.0,20.0,20.0,20.0,20.0,60.0,30.0,15.0,75.0,40.0,30.0,20.0,20.0,7.0,20.0,25.0,26.0,23.0,29.0,23.0,22.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,76.49832487792969,50.99888325195313,50.99888325195313,45.898994926757815,25.499441625976566,20.39955330078125,5.099888325195312
FE6,Cecilia,All,Valkyrie,F,0,N/A,N/A,1.0,30.0,11.0,7.0,10.0,10.0,7.0,13.0,6.0,8.0,60.0,35.0,45.0,25.0,25.0,20.0,25.0,,,,,,,,,,,,,,,,,45.0,35.0,25.0,45.0,10.0,20.0,40.0,27.0,24.0,25.0,24.0,28.0,20.0,60.0,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.035506134375,36.77071191171875,47.27662960078125,26.264794222656253,26.264794222656253,21.011835378125003,26.264794222656253
